,City,Latitude,Longitude,Max Temp,Cloudiness,Wind Speed,Humidity,Date
0,ushuaia,-87.98990122565525,-61.00374808455095,-12.63,0,15.23,70,1544241288
1,hithadhoo,-13.93830634964543,76.1887919299063,81.83,80,23.17,100,1544241289
2,cabo san lucas,10.638776775113016,-120.28734373542221,80.75,76,16.13,100,1544241289
3,hobart,-78.14191603479821,138.57463693593985,-10.51,32,7.85,100,1544241290
4,severo-kurilsk,43.32059978750709,160.55327886693652,46.96,48,35.14,100,1544241290
5,cidreira,-40.67162221046593,-41.53939217127913,53.21,92,31.34,98,1544241291
6,pangody,64.77358055951885,74.68554095210445,18.74,92,11.1,94,1544241292
7,bintulu,4.699737566904858,111.66787942991948,82.37,12,4.16,100,1544241293
8,yerbogachen,60.078400701627544,109.7898592119837,-14.7,68,3.94,64,1544241293
9,hilo,3.761883755951075,-162.31430756162604,81.65,48,10.76,100,1544241294
10,taolanaro,-78.43829215781278,67.83693832499603,-20.68,0,18.25,56,1544241294
11,torbay,40.3918899475116,-43.916892722546265,63.2,88,15.9,100,1544241294
12,ferkessedougou,8.914111005410803,-5.08171866258067,66.53,0,3.38,56,1544241295
13,avarua,-31.28958663796675,-166.63426830892033,66.13,92,12.33,100,1544241295
14,pevek,74.3540900083608,172.21044712696937,11.09,88,19.71,92,1544241295
15,albany,-71.46810592723335,116.97563478534084,-0.75,48,11.88,100,1544241296
16,nikolskoye,47.20176806658404,171.72235615529718,46.51,20,28.1,91,1544241296
17,busselton,-43.094629594480836,107.0461230100662,49.52,24,26.42,100,1544241296
18,homer,58.585919465750635,-150.4198501738899,42.41,92,5.95,100,1544241297
19,san javier,-16.377990947961564,-62.8602002448942,67.21,8,9.19,81,1544241297
20,castro,-51.32938932143629,-89.70064599081027,44.89,48,23.29,97,1544241297
21,mar del plata,-43.96860875645266,-54.632094584571206,60.41,0,20.49,100,1544241298
22,butaritari,13.538694579557216,174.0127523223686,82.33,44,24.63,98,1544241298
23,novikovo,47.80083618871754,145.97749454167013,21.26,56,19.26,100,1544241299
24,barra do garcas,-15.353159008926951,-52.99538029593448,73.1,56,2.59,97,1544241299
25,hasaki,30.534711804799997,149.52352813788747,73.73,76,18.81,99,1544241299
26,cardedeu,41.700185680827104,2.4643836600810687,50,40,1.12,100,1544239800
27,te anau,-44.129924414323796,162.27473913513666,59.42,88,24.07,92,1544241300
28,saskylakh,89.48732814280822,111.36729556281466,-25.27,0,10.2,39,1544241300
29,bata,2.101189159401713,9.585822297782869,77.6,88,12.33,100,1544241301
30,kapaa,37.660283563413685,-157.7677414593153,55.01,56,37.94,100,1544241301
31,isla aguada,19.860623166647997,-92.06424718872279,81.92,64,16.46,95,1544241301
32,evensk,64.48379469750051,160.68375302527227,-37.38,8,2.71,69,1544241302
33,khatanga,69.83604062785605,105.88881548095992,-12.27,68,2.93,74,1544241302
34,rikitea,-65.56633365244342,-137.59242239991636,31.48,80,11.88,100,1544241302
35,karakendzha,38.63098463337522,72.47598175625603,-10.78,56,0.69,64,1544241303
36,attawapiskat,70.03092205686553,-86.8690185706546,-13.53,64,13.78,83,1544241303
37,atuona,-9.191786478404921,-124.29681762181076,77.96,0,17.69,100,1544241304
38,ziro,27.781361719040788,93.61165299068568,48.35,0,1.59,79,1544241304
39,chagda,57.211590476974266,131.14289892309006,-25,56,2.71,34,1544241305
40,copiapo,-28.308170636620055,-68.61849936446511,29.59,0,1.92,77,1544241305
41,klaksvik,77.43571534456669,-2.845133608036889,23.96,0,27.09,100,1544241305
42,mahebourg,-48.408866201368696,76.77789178633691,42.19,92,36.6,91,1544241306
43,curup,-2.6193613467719103,102.52592717706659,80.53,88,4.05,100,1544241306
44,yangambi,1.3936724900087967,24.377393929333778,69.28,64,1.7,99,1544241306
45,chikoy,50.74487908003698,107.09676433500408,-14.47,0,2.71,61,1544241307
46,port elizabeth,-89.04386773336303,39.30463818709529,-16.99,0,14.23,67,1544241307
47,lolua,-8.042746766759777,171.88970788356733,85.25,80,7.29,100,1544241307
48,vallenar,-28.01978409829028,-70.50865132160705,56.86,48,2.04,95,1544241308
49,arraial do cabo,-39.51145558586792,-27.58195575645354,57.76,92,31.68,100,1544241308
50,loudi,27.969895301426988,111.80577445962751,28.82,100,6.4,95,1544241308
51,new norfolk,-86.32320524186663,129.18715396840412,-15.37,0,14.23,76,1544241309
52,rawson,-48.246512348363055,-61.4401682284787,53.26,32,10.42,96,1544241309
53,general roca,-37.84743595525788,-67.5859851411704,76.39,0,13.44,27,1544241310
54,carnarvon,-21.410732057074995,111.68808133772058,73.78,0,21.83,100,1544241310
55,makurdi,7.637095889178255,8.563579157924693,68.51,0,2.37,81,1544241310
56,belushya guba,84.5551902025669,59.392857872439976,17.44,88,20.71,88,1544241311
57,kruisfontein,-87.13361161016617,29.932297470951,-16.68,0,15.23,67,1544241311
58,santa cruz de tenerife,30.221915640390236,-15.50324201696472,69.05,8,18.25,99,1544241311
59,amderma,75.5380533834753,67.74287643478618,30.04,92,28.32,95,1544241312
60,punta arenas,-86.34787964908939,-122.51347763971347,-5.65,20,11.88,72,1544241312
61,puerto ayora,-16.02278651532569,-103.30463055164341,70.94,92,13.67,100,1544241313
62,takoradi,-0.560026771838281,-0.2461129864917666,75.49,92,3.49,100,1544241313
63,chalus,38.746671018567525,51.82919698015965,53.71,92,14.45,100,1544241314
64,tiksi,72.77463059096837,127.3481158530621,-33.78,0,6.17,62,1544241314
65,itarema,6.919317575192991,-35.40838023594375,79.4,88,15.01,100,1544241314
66,longyearbyen,84.58539699487977,26.212047640161046,16.81,92,14.9,90,1544241315
67,palauig,15.011778117405811,119.38429676743061,84.35,0,14.79,98,1544241315
68,port victoria,-0.6197812409609753,33.35753915776641,68.24,88,7.74,100,1544241315
69,mataura,-42.77590940784662,-152.78816923800758,57.49,0,14.34,96,1544241316
